flag	content
$SCENE_OPENING_TITLE	Anfang
$NARR_OPENING_00_TEXT	*Mein Name ist $MCG
$NARR_OPENING_10_TEXT	Ich sterbe
$NARR_OPENING_20_TEXT	Sie warten nicht
$NARR_OPENING_30_TEXT	Sie haben nicht mal mehr Zeit, die Leichen zu verbrennen.
$NARR_OPENING_40_TEXT	Sie bringen sie nur aus der Stadt heraus...
$NARR_OPENING_50_TEXT	…und werfen sie in die Grube
$SCENE_WHERE_AM_I_TITLE	Die Halbaußen-Welt
$NARR_WHERE_AM_I_00_TEXT	AKT I
$NARR_WHERE_AM_I_00_SUB_TEXT	*Mit einem Fuß in jeder Welt und seiner Seele dazwischen$N sieht der Sterbende alles.
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$N - Nomaden-Sprichwort
$LINE_WHERE_AM_I_00_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_00_TEXT	Kannst du ihn spüren?
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	Was? Wo sind wir?
$LINE_WHERE_AM_I_20_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_20_TEXT	Er ruft nach uns...
$LINE_WHERE_AM_I_30_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_30_TEXT	Komm, wir müssen uns ihm anschließen...
$LINE_WHERE_AM_I_40_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_40_TEXT	Wir sind schon fast da...
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	Was tust du da? Bist du verrückt?
$LINE_WHERE_AM_I_60_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_60_TEXT	Höre der Stimme zu...
$LINE_WHERE_AM_I_70_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_70_TEXT	Er bietet so viel mehr... Ein Teil von etwas... Größerem sein.
$LINE_WHERE_AM_I_80_CHAR	SEUCHENOPFER
$LINE_WHERE_AM_I_80_TEXT	Nur ein Narr würde widerstehen.
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	Lass mich in Ruhe!
$LINE_WHERE_AM_I_100_CHAR	STIMME
$LINE_WHERE_AM_I_100_TEXT	ALLE SCHLIESSEN SICH AN. ALLE WERDEN HÜLLEN SEIN.
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	Lass mich hier raus!
$LINE_WHERE_AM_I_120_CHAR	VOICE
$LINE_WHERE_AM_I_120_TEXT	HERRSCHE.
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	Kann mich nicht... bewegen...
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	Hilf mir... Irgendwer...
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	Was?! Wo zur - habadaba ...?!
$SCENE_MEET_BERSERKER_TITLE	Ein komischer neuer Freund
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	Wow.
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	Was ist passiert?
$LINE_MEET_BERSERKER_20_CHAR	$BER
$LINE_MEET_BERSERKER_20_TEXT	Keine Ahnung. Vor fünf Minuten warst du nur eine Leiche und ich nur ein Kerl, der ein paar neue Schuhe zu erbeuten versuchte.
$LINE_MEET_BERSERKER_30_CHAR	$BER
$LINE_MEET_BERSERKER_30_TEXT	Gute Nachrichten! Du lebst und scheinst nicht mehr von der Seuche befallen zu sein.
$LINE_MEET_BERSERKER_40_CHAR	$MCG
$LINE_MEET_BERSERKER_40_TEXT	Wo - ?
$LINE_MEET_BERSERKER_50_CHAR	$BER
$LINE_MEET_BERSERKER_50_TEXT	Die schlechten Nachrichten sind, dass ich keine neuen Schuhe krieg.
$LINE_MEET_BERSERKER_60_CHAR	$BER
$LINE_MEET_BERSERKER_60_TEXT	Außerdem hängst du jetzt mit uns in dieser Seuchen-Kolonie fest.
$LINE_MEET_BERSERKER_70_CHAR	$MCG
$LINE_MEET_BERSERKER_70_TEXT	Die Grube ...
$LINE_MEET_BERSERKER_80_CHAR	$BER
$LINE_MEET_BERSERKER_80_TEXT	Kopf hoch! Du hast überlebt und solltest jetzt gegen die Seuche immun sein.
$LINE_MEET_BERSERKER_90_CHAR	$MCG
$LINE_MEET_BERSERKER_90_TEXT	Dann lassen uns die Wachen doch raus, oder?
$LINE_MEET_BERSERKER_100_CHAR	$BER
$LINE_MEET_BERSERKER_100_TEXT	Du könntest versuchen, es ihnen zu erklären, aber sie sind nicht die besten Zuhörer.
$LINE_MEET_BERSERKER_110_CHAR	$BER
$LINE_MEET_BERSERKER_110_TEXT	*Sie verwechseln schon mal „höflich antworten“ mit$N„dich mit Pfeilen durchlöchern.“
$LINE_MEET_BERSERKER_120_CHAR	$BER
$LINE_MEET_BERSERKER_120_TEXT	Ernsthaft. Ich weiß nicht, was für Etikette-Training das Ash-Königreich heutzutage hat.
$LINE_MEET_BERSERKER_130_CHAR	$MCG
$LINE_MEET_BERSERKER_130_TEXT	...
$LINE_MEET_BERSERKER_140_CHAR	$MCG
$LINE_MEET_BERSERKER_140_TEXT	Ich verstehe noch immer nicht, was an diesem ... anderen Ort geschah ...
$LINE_MEET_BERSERKER_150_CHAR	$BER
$LINE_MEET_BERSERKER_150_TEXT	Mach dir keinen Kopf. Ich hatte dieselbe Halluzination, als ich das erste Mal die Seuche hatte.
$LINE_MEET_BERSERKER_160_CHAR	$MCG
$LINE_MEET_BERSERKER_160_TEXT	Warte mal - du warst mit mir dort! Wie hätte es dann eine Halluzination sein können?
$LINE_MEET_BERSERKER_170_CHAR	$BER
$LINE_MEET_BERSERKER_170_TEXT	Ooh, was ist das? Eine Karawane!
$LINE_MEET_BERSERKER_180_CHAR	$MCG
$LINE_MEET_BERSERKER_180_TEXT	Warte!
$LINE_MEET_BERSERKER_190_CHAR	$MCG
$LINE_MEET_BERSERKER_190_TEXT	Sag mir zumindest deinen Namen!
$SCENE_SECOND_BATTLE_TITLE	Karawane der Toten
$LINE_SECOND_BATTLE_00_CHAR	$BER
$LINE_SECOND_BATTLE_00_TEXT	Hey, Karawanen-Leute! Hat irgendwer Schuhe?
$LINE_SECOND_BATTLE_10_CHAR	INFIZIERTE KARAWANENWACHE
$LINE_SECOND_BATTLE_10_TEXT	Bitte ... Tribut ... an Ozimal ...
$LINE_SECOND_BATTLE_20_CHAR	$BER
$LINE_SECOND_BATTLE_20_TEXT	Oh-oh.
$LINE_SECOND_BATTLE_30_CHAR	$MCG
$LINE_SECOND_BATTLE_30_TEXT	Wer sind diese Leute?
$LINE_SECOND_BATTLE_40_CHAR	$BER
$LINE_SECOND_BATTLE_40_TEXT	Wir müssen hier raus, sofort.
$LINE_SECOND_BATTLE_50_CHAR	$MCG
$LINE_SECOND_BATTLE_50_TEXT	Aber sie brauchen Hilfe!
