flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
$ITEM_BOW	<RE>$ITM_W_BOW
$ITEM_STAFF	<RE>$ITM_W_STAFF
$ITEM_LIGHT	<RE>$ITM_A_LIGHT
$ITEM_HEAVY	<RE>$ITM_A_HEAVY
$ITEM_BOOK	<RE>$ITM_W_BOOK
$ITEM_WEAPON	Arma
$ITEM_ARMOR	Armadura
$ITM_W_BOOK	libro	<NULL>
$ITM_W_BOOK_PLURAL	libros	<NULL>
$ITM_A_LIGHT	armadura ligera	<NULL>
$ITM_A_LIGHT_PLURAL	armadura ligera	<NULL>
$ITM_A_HEAVY	armadura pesada	<NULL>
$ITM_A_HEAVY_PLURAL	armadura pesada	<NULL>
$ITM_W_SWORD	espada	<NULL>
$ITM_W_SWORD_PLURAL	espadas	<NULL>
$ITM_W_BOW	arco	<NULL>
$ITM_W_BOW_PLURAL	arcos	<NULL>
$ITM_W_STAFF	báculo	<NULL>
$ITM_W_STAFF_PLURAL	báculos	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	ligera	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	pesada	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	espadas	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	báculos	<NULL>
$ITM_W_BOW_PLURAL_SHORT	arcos	<NULL>
$ITM_W_BOOK_PLURAL_SHORT	libros	<NULL>
$ITM_A_LIGHT_1	Cilicio	Un saco de arpillera que se lleva bajo la ropa. Pica bastante, pero es mejor que nada.
$ITM_A_LIGHT_2	Pellejo	Pieles secas de animales cosidas toscamente a modo de prenda protectora. Gruesa y robusta.
$ITM_A_LIGHT_3	Túnica del jefe tribal	Esta espectacular túnica nómada de colores está elaborada a partir de lana gruesa y decorada con adornos bordados. El dobladillo de la prenda representa las raíces sinuosas y alargadas del Árbol del Mundo.
$ITM_A_LIGHT_4	Túnica de lana gruesa	Una túnica larga y gruesa confeccionada a partir de la preciada lana de los pastores nómadas.
$ITM_A_LIGHT_5	Chaleco de piel de tigre	Los diseños de fuego Quaid del cinturón grabado de cuero son el único indicio de los orígenes de esta prenda exótica.
$ITM_A_LIGHT_6	Pelaje	Un chaleco cálido y mullido confeccionado a partir del valioso pelaje de varios animales.
$ITM_A_LIGHT_7	Túnica de Ozimal	Despide un ligero olor a queso.
$ITM_A_LIGHT_8	Traje de cuero	Un majestuoso jubón cosido con esmero usando cuero curtido.
$ITM_A_LIGHT_9	Hábito del monje guerrero	Este hábito de monje está extraordinariamente bien acolchado y adornado con los símbolos de la Novena Escisión de Selini, División de los Militantes, Defensores de la Verdad y el Orden.
$ITM_A_LIGHT_10	Gambesón de lana	Varias capas de lana fina meticulosamente guateadas y rellenas de trozos de tela y pelo de animales que conforman una defensa robusta frente a todo excepto contra los golpes más devastadores.
$ITM_A_LIGHT_11	Locura del asesino	A primera vista, sólo parece una camisola adornada de un noble. Una inspección más atenta revela múltiples filas de planchas de metal ligero cosidas en el interior de la prenda. Una muesca en la parte baja de la espalda indica que su ingenioso diseño dejó planchado a más de un asesino.
$ITM_A_LIGHT_12	Gambesón de seda	Varias capas unidas de seda resistente guateadas con relleno de pelo de caballo que conforman una armadura capaz de detener una flecha sin que el portador sufra ningún daño.
$ITM_A_LIGHT_13	Maestro de arqueros	Este gambesón del reino de Ash está fabricado con una excepcional seda y muestra un elaborado bordado que identifica al dueño como el «Maestro de arqueros real». La superficie contiene docenas de pequeños arreglos que indican que esta armadura sin parangón ha visto muchas batallas. Probablemente ha ido pasando de un Maestro a otro.
$ITM_A_LIGHT_14	La Zalea de Platino	Mucho más valiosa que una zalea dorada. Esta brillante y cegadora zalea no conoce rival. Se ha fabricado a partir del cadáver desollado de la mismísima Axxima Vatta Muttunaxxor.
$ITM_A_LIGHT_15	Túnica del jefe tribal+	Esta espectacular túnica nómada de colores está elaborada a partir de lana gruesa y decorada con adornos bordados. El dobladillo de la prenda representa las raíces sinuosas y alargadas del Árbol del Mundo.
$ITM_A_LIGHT_16	Chaleco de piel de tigre+	Los diseños de fuego Quaid del cinturón grabado de cuero son el único indicio de los orígenes de esta prenda exótica.
$ITM_A_LIGHT_17	Túnica de Ozimal+	Despide un ligero olor a queso.
$ITM_A_LIGHT_18	Hábito del monje guerrero+	Este hábito de monje está extraordinariamente bien acolchado y adornado con los símbolos de la Novena Escisión de Selini, División de los Militantes, Defensores de la Verdad y el Orden.
$ITM_A_LIGHT_19	Locura del asesino+	A primera vista, sólo parece una camisola adornada de un noble. Una inspección más atenta revela múltiples filas de planchas de metal ligero cosidas en el interior de la prenda. Una muesca en la parte baja de la espalda indica que su ingenioso diseño dejó planchado a más de un asesino.
$ITM_A_LIGHT_20	Maestro de arqueros+	Este gambesón del reino de Ash está fabricado con una excepcional seda y muestra un elaborado bordado que identifica al dueño como el «Maestro de arqueros real». La superficie contiene docenas de pequeños arreglos que indican que esta armadura sin parangón ha visto muchas batallas. Probablemente ha ido pasando de un Maestro a otro.
$ITM_A_LIGHT_21	La Zalea de Platino+	Mucho más valiosa que una zalea dorada. Esta brillante y cegadora zalea no conoce rival. Se ha fabricado a partir del cadáver desollado de la mismísima Axxima Vatta Muttunaxxor.
$ITM_A_LIGHT_22	Cilicio+	Un saco de arpillera que se lleva bajo la ropa. Pica bastante, pero es mejor que nada.  Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_LIGHT_23	Pellejo+	Pieles secas de animales cosidas toscamente a modo de prenda protectora. Gruesa y robusta. Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_LIGHT_24	Túnica de lana gruesa+	Una túnica larga y gruesa confeccionada a partir de la preciada lana de los pastores nómadas. Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_LIGHT_25	Pelaje+	Un chaleco cálido y mullido confeccionado a partir del valioso pelaje de varios animales. Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_LIGHT_26	Traje de cuero+	Un majestuoso jubón cosido con esmero usando cuero curtido. Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_LIGHT_27	Gambesón de lana+	Varias capas de lana fina meticulosamente guateadas y rellenas de trozos de tela y pelo de animales que conforman una defensa robusta frente a todo excepto contra los golpes más devastadores. Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_LIGHT_28	Gambesón de seda+	Varias capas unidas de seda resistente guateadas con relleno de pelo de caballo que conforman una armadura capaz de detener una flecha sin que el portador sufra ningún daño. Un encantamiento hace que sea mucho más fuerte de lo normal.
$ITM_A_HEAVY_1	Eslabón de cadena	Un gambesón ligero con varias uniones de metal forjadas toscamente unidas en la parte exterior de los brazos para una protección adicional.
$ITM_A_HEAVY_2	Cota de malla	Una cota hecha de cientos de anillas de metal entrelazadas y remachadas para evitar roturas.
$ITM_A_HEAVY_3	Gloria guerrera	Esta exquisita armadura Quaid tiene un estilo cautivador.  Cada anilla de la malla está teñida de azul, y las últimas filas de la cota están bañadas en oro para crear un borde dorado.  Las placas reforzadas están adornadas con patrones de oropel y muestran el símbolo de la familia imperial.  La superficie de metal contiene las palabras Quaid «es demasiado tarde para pensar en estas coas».  Hay algunas palabras más garabateadas en las esquinas de las placas, pero son ilegibles. Parece que se han escrito precipitadamente.
$ITM_A_HEAVY_4	Malla mestiza	Una cota de malla con placas de metal unidas directamente a las anillas para una mayor protección del torso.  La armadura habitual de la infantería Quaid durante la guerra.
$ITM_A_HEAVY_5	Lamelar del jinete	Este antiguo lamelar de arreo cuenta con una protección extendida en los hombros y escarcelas hasta la rodilla, lo que hace pensar que fue diseñado para la caballería pesada.  Los brazales dorados y el gambesón de seda revelan que el antiguo dueño debió ser un guerrero acomodado.  Muchas de las placas están grabadas con un pequeña inscripción desconocida que no corresponde a ninguno de los idiomas de la zona.  La ubicación de estas placas sobre el corazón del portador puede deberse a que la inscripción sea algún tipo de plegaria o encantamiento protector, pero solo son conjeturas.
$ITM_A_HEAVY_6	Lamelar	Docenas de pequeñas placas de metal enlazadas entre sí con un resistente cordel de seda.
$ITM_A_HEAVY_7	Arreo del traidor	Las hombreras doradas de esta cota de placas fabricada en Ash parecen indicar que pertenecía a un oficial de alto rango.  La superficie de lona se ha restaurado, pero la palabra Ash para «traidor» todavía se aprecia grabada en la tela.  Las manchas de sangre tiñen la prenda de rojo, aunque la armadura no ha sufrido ningún desperfecto perceptible.
$ITM_A_HEAVY_8	Cota de placas	Una protección excelente para el torso hecha de anchas y pesadas placas remachadas en la parte interior de una sobrevesta de lona resistente.
$ITM_A_HEAVY_9	Fuerza de Wocolan	Esta brigantina de terciopelo verde cuenta con hombreras anchas y pulidas, típicas de la infantería pesada de los Quaid.  La cimera dorada representa al héroe Quaid, Wocolan, aplastando una cabeza de oso con sus propias manos.  Más abajo, sus vástagos Wastan y Wacella beben la sangre que emana de la boca del oso para sobrevivir a la extenuante marcha al exilio de su familia.
